Provincia,Municipalidad,Participacion electoral municipal (2024),Pobreza Multidimensional (2021),Bienestar de Ninez y Adolescencia (2020),Desiguadad de Genero (2020),Grado de Madurez Urbanismo 2023,Grado de Madurez Alcantarillado Pluvial 2023,Grado de Madurez Alcantarillado Pluvial 2023,Salud,Habilidades y competencias,Dinamismo de mercados,Seguridad,Capital social,Transformación digital,Trámites ágiles,Transparencia municipal,Administración presupuestaria,Infraestructura de transporte,Conectividad vial,Sector laboral,Aprovechamiento de residuos recolectados, Cobertura del servicio  de recolección de residuos ordinario, Cobertura del servicio de recolección de residuos selectivo,Inversión en el servicio de recolección de residuos,Tratamiento de residuos valorizables,Inversión per cápita en protección del medio ambiente,Hogares con acceso a agua potable,Hogares con acceso a agua por tubería,Hogares con acceso a eliminación de basura,Inversión en servicios sociales y complementarios,"Inversión en servicios educativos, culturales y deportivos",Cobertura del servicio de aseo de vías y sitios públicos,Inversión en el servicio de aseo de vías y sitios públicos,Brecha de género en empleo
SAN_JOSE,MONTES_DE_OCA,0.27,0.4741,0.7287,0.1131,0.5,Inicial,0.1,0.892789434,0.702011568,0.484343917,0.643018087,0.703102028,0.515151515,0.589015359,0.759203272,0.803820167,0.207093497,0.596715587,0.807112418,0.059108898,1,1,0.09431458,1,0.089691137,0.899275181,0.932600183,0.952678497,0.9291,0.9018,1,0.106040418,0.955309231
SAN_JOSE,TURRUBARES,0.6084,0.5066,0.7251,0.2333,0.3,No brinda el servicio,,0.667223622,0.456104898,0.25533253,0.620148118,0.402973915,0.140909091,0.743844853,0.226797658,0.59267307,0.161221174,0.766077812,0.647448174,0.011712038,0.9209,0.9209,0.043748831,1,0.312795673,0.908504176,0.949886105,0.739939256,0.6632,0,1,0,0.320195517
SAN_JOSE,DOTA,0.4952,0.4213,0.7632,0.3315,0.3,Inicial,0.1,0.357689098,0.540839789,0.266351234,0.93134667,0.792804968,0.233333333,0.705199436,0.286058916,0.761272875,0.564264077,0.604251402,0.669748637,0.158624717,0.638341264,0.638341264,0.077648017,0,0.029423711,0.587961423,0.973395411,0.782174925,0,1,0.259680904,1,0.345970577
SAN_JOSE,CURRIDABAT,0.2542,0.3658,0.7335,0.1486,0.5,Inicial,0.1,0.779861752,0.591196505,0.439391571,0.808351842,0.64745719,0.468181818,0.935869173,0.433178234,0.766409488,0.248454042,0.594035355,0.755841371,0.004256146,1,1,0.09526544,1,0.278777473,0.971580644,0.963816593,0.979735339,0.6503,0.7214,1,0.083565239,0.856166934
SAN_JOSE,PEREZ_ZELEDON,0.317,0.4457,0.672,0.1840,0.5,Inicial,0.1,0.68152015,0.561869594,0.418967392,0.806632001,0.608715664,0.139393939,0.790128566,0.387128867,0.795779378,0.256593186,0.545605178,0.688372182,0.043414509,0.695111081,0.695111081,0.162684014,1,0.076513743,0.899200502,0.97580603,0.599153472,0.9059,0.9239,0.060334894,0.25995311,0.355997664
SAN_JOSE,LEON_CORTES_CASTRO,0.425,0.4538,0.6524,0.1897,0.3,Inicial,0.1,0.651482077,0.607788257,0.243779246,0.91580598,0.494775974,0.03030303,0.770517919,0.307308004,0.644617916,0.225482597,0.642321007,0.618204412,0.099714017,1,1,0.367812544,1,0.037910041,0.879568264,0.96951335,0.71747775,0,0.1758,1,0.422259917,0.132538518
ALAJUELA,ALAJUELA,0.2849,0.4903,0.755,0.2721,0.5,Inicial,0.1,0.606393448,0.507433087,0.680711274,0.685829489,0.650740222,0.487878788,0.784396278,0.421810827,0.67520942,0.26521606,0.606326638,0.737614769,0.013698661,1,1,0.026522621,0,0.046048194,0.888231131,0.958882955,0.966733157,0.4561,0.551,1,0.1,0.692528156
ALAJUELA,SAN_RAMON,0.3771,0.4091,0.7285,0.2204,0.5,No brinda el servicio,,0.643054349,0.587288594,0.414892523,0.755079213,0.641997209,0.342424242,0.623246261,0.374493983,0.729987809,0.119954686,0.735549641,0.70660595,0.009335069,1,1,0.000655009,0,0.054346566,0.93654478,0.969312393,0.914177192,0.7802,0.9843,1,0.020619901,0.644127816
ALAJUELA,GRECIA,0.34,0.5269,0.7858,0.2165,0.5,No brinda el servicio,,0.678182126,0.565583473,0.471459367,0.786992939,0.700899836,0.327272727,0.446615676,0.479311959,0.852231124,0.487600971,0.669253525,0.706068469,0.024647303,1,0.368891514,0.206386493,1,0.044107991,0.930771455,0.975272938,0.912659967,0.3097,0.7498,1,0.234067328,0.5290136
ALAJUELA,SAN_MATEO,0.5375,0.4457,0.6342,0.1497,0.3,No brinda el servicio,,0.790130671,0.513878931,0.321151691,0.804633255,0.619975867,0.077272727,0.588262344,0.45686731,0.639868567,0.143736981,0.760339214,0.634020411,0.020130851,1,0.891014074,0.077224873,1,0.030321725,0.87595057,0.929657795,0.83460076,0.3729,0.9854,1,0.075187184,0.317880325
