,Provincia,Municipalidad,Partido,Candidato,Ganador,Votos,Participacion,Abstencionismo,doc_id,Transparency and Digital Government,Economic Boost,Security,Institutional Cooperation,Vulnerable Populations,Environment Protection,Strategy and Planification,Education,Municipal Administration,Entrepreneurship,Sustainability and climate change,Recreation,Residue Management,Youth Wellbeing,Mobility Infrastructure,Public Space Infrastructure,Municipal Roads,Sustainable Urbanism,Mobility and Transportation,Tourism,Community Engagement,Refurbishment of public spaces,Sustainable Water Management,Sports,Gender Equality,Budget Administration,Youth Problems,Culture,Agriculture and Livestock,Health,Taxes,Emergencies,Environment,Housing,Animal Welfare,Local election turnout,Multidimensional poverty,Children and adolescent welfare,Gender inequality,Urban maturity level,Grado de Madurez Alcantarillado Pluvial 2023,Rain drainage buildout level,Health_ind,Skills and competencies,Market diversity,Security_ind,Social capital,Digital transformation,Agile procedures,Municipal transparency,Budget administration,Transport infrastructure,Road connectivity,Labour sector,Collected waste utilization,Ordinary waste collection service coverage,Special waste collection service coverage,Investment in waste collection services,Recycled waste treatment,Environmental protection investment per capita,Households with access to safe drinking water,Households connected to water infrastructure,Households with access to waste disposal services,Investment in social and welfare services,"Investment in educational, cultural and sports services",Coverage of road and public site cleaning services,Investment in road maintenance and street cleaning services,Employment gender gap
0,SAN_JOSE,MONTES_DE_OCA,PARTIDO_COALICION_GENTE_MONTES_DE_OCA,ANA LUCIA GONZALEZ CASTRO,0.0,2175.0,0.27,0.73,SAN_JOSE-MONTES_DE_OCA-PARTIDO_COALICION_GENTE_MONTES_DE_OCA,0.14669331987404433,0.03178080237543714,0.046911258054217,0.10349013816362677,0.0420884467832421,0.02898334671105997,0.019581088856820462,0.05094337269463166,0.019188898183487787,0.043752718959804975,0.009774856331408212,0.025788303806026928,0.015585025809025209,0.033096442736381286,0.05891763201399263,0.011703373320614427,0.015654600143597097,0.019664170229072114,0.0,0.0049697074460265805,0.056823768652780764,0.053999749345974624,0.0,0.02626911581964286,0.04744883964143085,0.0,0.0020457635802356715,0.06210216337933883,0.0,0.004361300040672561,0.0,0.008599973137387919,0.006663425262243186,0.0031183986477760655,0.0,0.27,0.4741,0.7287,0.1131,0.5,Inicial,0.1,0.892789434,0.702011568,0.484343917,0.643018087,0.703102028,0.515151515,0.589015359,0.759203272,0.803820167,0.207093497,0.596715587,0.807112418,0.059108898,1.0,1.0,0.09431458,1.0,0.089691137,0.899275181,0.932600183,0.952678497,0.9291,0.9018,1.0,0.106040418,0.955309231
1,SAN_JOSE,MONTES_DE_OCA,PARTIDO_COALICION_GENTE_MONTES_DE_OCA,ANA LUCIA GONZALEZ CASTRO,0.0,2175.0,0.27,0.73,SAN_JOSE-MONTES_DE_OCA-PARTIDO_COALICION_GENTE_MONTES_DE_OCA,0.14669331987404433,0.03178080237543714,0.046911258054217,0.10349013816362677,0.0420884467832421,0.02898334671105997,0.019581088856820462,0.05094337269463166,0.019188898183487787,0.043752718959804975,0.009774856331408212,0.025788303806026928,0.015585025809025209,0.033096442736381286,0.05891763201399263,0.011703373320614427,0.015654600143597097,0.019664170229072114,0.0,0.0049697074460265805,0.056823768652780764,0.053999749345974624,0.0,0.02626911581964286,0.04744883964143085,0.0,0.0020457635802356715,0.06210216337933883,0.0,0.004361300040672561,0.0,0.008599973137387919,0.006663425262243186,0.0031183986477760655,0.0,0.27,0.4741,0.7287,0.1131,0.5,Inicial,0.1,0.892789434,0.702011568,0.484343917,0.643018087,0.703102028,0.515151515,0.589015359,0.759203272,0.803820167,0.207093497,0.596715587,0.807112418,0.059108898,1.0,1.0,0.09431458,1.0,0.089691137,0.899275181,0.932600183,0.952678497,0.9291,0.9018,1.0,0.106040418,0.955309231
2,SAN_JOSE,TURRUBARES,PARTIDO_UNIDOS_PODEMOS,MARTIN VARGAS CALDERON,1.0,1346.0,0.6084,0.3916,SAN_JOSE-TURRUBARES-PARTIDO_UNIDOS_PODEMOS,0.16977562808365487,0.04135292737110448,0.062389063598250034,0.0582606655235588,0.07762189249446597,0.04502439028105883,0.017626636796596984,0.02273893665785786,0.025470531849206536,0.03011648796514314,0.044051476292062505,0.023192306074127384,0.011142174308350945,0.014150781607880863,0.03147398054575808,0.017331398936710016,0.024122549765134435,0.0,0.0045819622403872225,0.007465078598729767,0.04385453728819786,0.007979259003734038,0.005793941979475016,0.0352498846038473,0.060675581292493966,0.010731849318565285,0.006324350164266417,0.007354254559975685,0.0012671617707452952,0.06149217437078429,0.009839323526231143,0.010850932217638007,0.0,0.009401142818593599,0.0012967380954133447,0.6084,0.5066,0.7251,0.2333,0.3,No brinda el servicio,,0.667223622,0.456104898,0.25533253,0.620148118,0.402973915,0.140909091,0.743844853,0.226797658,0.59267307,0.161221174,0.766077812,0.647448174,0.011712038,0.9209,0.9209,0.043748831,1.0,0.312795673,0.908504176,0.949886105,0.739939256,0.6632,0.0,1.0,0.0,0.320195517
3,SAN_JOSE,TURRUBARES,PARTIDO_UNIDOS_PODEMOS,MARTIN VARGAS CALDERON,1.0,1346.0,0.6084,0.3916,SAN_JOSE-TURRUBARES-PARTIDO_UNIDOS_PODEMOS,0.16977562808365487,0.04135292737110448,0.062389063598250034,0.0582606655235588,0.07762189249446597,0.04502439028105883,0.017626636796596984,0.02273893665785786,0.025470531849206536,0.03011648796514314,0.044051476292062505,0.023192306074127384,0.011142174308350945,0.014150781607880863,0.03147398054575808,0.017331398936710016,0.024122549765134435,0.0,0.0045819622403872225,0.007465078598729767,0.04385453728819786,0.007979259003734038,0.005793941979475016,0.0352498846038473,0.060675581292493966,0.010731849318565285,0.006324350164266417,0.007354254559975685,0.0012671617707452952,0.06149217437078429,0.009839323526231143,0.010850932217638007,0.0,0.009401142818593599,0.0012967380954133447,0.6084,0.5066,0.7251,0.2333,0.3,No brinda el servicio,,0.667223622,0.456104898,0.25533253,0.620148118,0.402973915,0.140909091,0.743844853,0.226797658,0.59267307,0.161221174,0.766077812,0.647448174,0.011712038,0.9209,0.9209,0.043748831,1.0,0.312795673,0.908504176,0.949886105,0.739939256,0.6632,0.0,1.0,0.0,0.320195517
4,SAN_JOSE,CURRIDABAT,PARTIDO_NUEVA_REPUBLICA,MELVIN VILLALOBOS OROZCO,0.0,382.0,0.2542,0.7458,SAN_JOSE-CURRIDABAT-PARTIDO_NUEVA_REPUBLICA,0.02844298408051215,0.033583375105068876,0.07691144505597404,0.1278156068119802,0.06836152384524612,0.0,0.0,0.1343869233784552,0.006171137440800518,0.0,0.0,0.015858709242021006,0.012436366582964146,0.03465910940021173,0.0,0.019465907973131587,0.024322690119481717,0.0,0.02203187955161104,0.0,0.006847505852512966,0.01884641204974658,0.01558145189467821,0.03785291014846081,0.039470354717307005,0.015785528333805244,0.12865477713231527,0.0,0.0,0.0615902581506021,0.005470204566359558,0.017555927807048965,0.0,0.0,0.047897010759705004,0.2542,0.3658,0.7335,0.1486,0.5,Inicial,0.1,0.779861752,0.591196505,0.439391571,0.808351842,0.64745719,0.468181818,0.935869173,0.433178234,0.766409488,0.248454042,0.594035355,0.755841371,0.004256146,1.0,1.0,0.09526544,1.0,0.278777473,0.971580644,0.963816593,0.979735339,0.6503,0.7214,1.0,0.083565239,0.856166934
5,SAN_JOSE,CURRIDABAT,PARTIDO_NUEVA_REPUBLICA,MELVIN VILLALOBOS OROZCO,0.0,382.0,0.2542,0.7458,SAN_JOSE-CURRIDABAT-PARTIDO_NUEVA_REPUBLICA,0.02844298408051215,0.033583375105068876,0.07691144505597404,0.1278156068119802,0.06836152384524612,0.0,0.0,0.1343869233784552,0.006171137440800518,0.0,0.0,0.015858709242021006,0.012436366582964146,0.03465910940021173,0.0,0.019465907973131587,0.024322690119481717,0.0,0.02203187955161104,0.0,0.006847505852512966,0.01884641204974658,0.01558145189467821,0.03785291014846081,0.039470354717307005,0.015785528333805244,0.12865477713231527,0.0,0.0,0.0615902581506021,0.005470204566359558,0.017555927807048965,0.0,0.0,0.047897010759705004,0.2542,0.3658,0.7335,0.1486,0.5,Inicial,0.1,0.779861752,0.591196505,0.439391571,0.808351842,0.64745719,0.468181818,0.935869173,0.433178234,0.766409488,0.248454042,0.594035355,0.755841371,0.004256146,1.0,1.0,0.09526544,1.0,0.278777473,0.971580644,0.963816593,0.979735339,0.6503,0.7214,1.0,0.083565239,0.856166934
6,ALAJUELA,ALAJUELA,PARTIDO_DESPERTAR_ALAJUELENSE,ANA PATRICIA GUILLEN CAMPOS,0.0,3881.0,0.2849,0.7151,ALAJUELA-ALAJUELA-PARTIDO_DESPERTAR_ALAJUELENSE,0.13010742033430567,0.100480733844839,0.07692681055578306,0.07261208467217871,0.06210389477151197,0.05903317237804194,0.05450533777282501,0.03950225000763529,0.03515964429205512,0.03404731369729186,0.032755505227046955,0.031301149530312135,0.02195976264588554,0.021133122046980733,0.019476973621621863,0.019005467696647613,0.01890251418339943,0.01838721003198906,0.01778227116924639,0.017649620751516746,0.01565186945023932,0.014771059335055218,0.014593716621393658,0.014051867465352433,0.011799335470628223,0.010923263875947829,0.00901893201680292,0.008811103183262507,0.00476494176376504,0.00362310245192155,0.0029235655845891873,0.0019174113019901123,0.0017833556360899953,0.0017601308717550617,0.0007740857400928391,0.2849,0.4903,0.755,0.2721,0.5,Inicial,0.1,0.606393448,0.507433087,0.680711274,0.685829489,0.650740222,0.487878788,0.784396278,0.421810827,0.67520942,0.26521606,0.606326638,0.737614769,0.013698661,1.0,1.0,0.026522621,0.0,0.046048194,0.888231131,0.958882955,0.966733157,0.4561,0.551,1.0,0.1,0.692528156
7,ALAJUELA,ALAJUELA,PARTIDO_FRENTE_AMPLIO,WENDY PAMELA MORA MORA,0.0,1385.0,0.2849,0.7151,ALAJUELA-ALAJUELA-PARTIDO_FRENTE_AMPLIO,0.1282911484269421,0.038670404852139593,0.010133331960177492,0.05821266497895239,0.12734749099772816,0.024169662689704413,0.01143230869952182,0.052184199801539585,0.013553720883567268,0.024620338591757274,0.019946257429377674,0.017747202152576556,0.015991534512337344,0.02495532855291036,0.04722738472999306,0.010002859426829231,0.006692198392142544,0.024477374981462782,0.013064169279253987,0.013249887073199493,0.030883392193605946,0.025348469260389223,0.014758907026022908,0.014125833734290829,0.08200196390274116,0.021301352032948268,0.00206208697915735,0.05453019175425526,0.0,0.02839332688755889,0.006191183013279717,0.020613121050228528,0.002446295511032507,0.0021878174031824144,0.013186590839193874,0.2849,0.4903,0.755,0.2721,0.5,Inicial,0.1,0.606393448,0.507433087,0.680711274,0.685829489,0.650740222,0.487878788,0.784396278,0.421810827,0.67520942,0.26521606,0.606326638,0.737614769,0.013698661,1.0,1.0,0.026522621,0.0,0.046048194,0.888231131,0.958882955,0.966733157,0.4561,0.551,1.0,0.1,0.692528156
8,ALAJUELA,ALAJUELA,PARTIDO_LIBERACION_NACIONAL,ROBERTO HERNAN THOMPSON CHACON,1.0,13686.0,0.2849,0.7151,ALAJUELA-ALAJUELA-PARTIDO_LIBERACION_NACIONAL,0.14584759809399642,0.05512081631275953,0.044306436374145025,0.049106833815749984,0.0865027821702366,0.01721219477226893,0.01432660114156032,0.07622923416864633,0.00912865785323823,0.017783298109496352,0.04921849661077525,0.006631913051483369,0.02370903337226147,0.01030660058722702,0.017358908229463794,0.00588876986219054,0.012469892159942523,0.013460255901610818,0.0017973463555206958,0.04007684847868069,0.06051422261524964,0.045557036860642094,0.017891048780613036,0.013922043282809698,0.01712580312432544,0.0027972047354673656,0.0018793261963029363,0.08031472999183463,0.0,0.018299788575643978,0.0017177209205054937,0.0015178598852098174,0.014388880671236198,0.009666373835707422,0.017925443103198376,0.2849,0.4903,0.755,0.2721,0.5,Inicial,0.1,0.606393448,0.507433087,0.680711274,0.685829489,0.650740222,0.487878788,0.784396278,0.421810827,0.67520942,0.26521606,0.606326638,0.737614769,0.013698661,1.0,1.0,0.026522621,0.0,0.046048194,0.888231131,0.958882955,0.966733157,0.4561,0.551,1.0,0.1,0.692528156
9,ALAJUELA,ALAJUELA,PARTIDO_LIBERAL_PROGRESISTA,KATIA VANESSA ARROYO VARGAS,0.0,2565.0,0.2849,0.7151,ALAJUELA-ALAJUELA-PARTIDO_LIBERAL_PROGRESISTA,0.08029251934661999,0.059013419374035,0.04877908848890655,0.09139314901893053,0.026296411426470528,0.01998961662943655,0.02195166850991164,0.06685951574916842,0.02128445751147061,0.03071160166824223,0.021763180739720934,0.014932278377164768,0.026760621255118546,0.005724031070579651,0.0199157639733662,0.09571736275358197,0.014305791994823515,0.012177481684334095,0.022557495878297223,0.030658759247987,0.020502071490057446,0.017721450172958196,0.010345803246657702,0.026622866987002624,0.01506814040648996,0.009785248701801655,0.016883955934124704,0.07967199551375578,0.0011436247694902747,0.03458913583843793,0.004289121415142445,0.004892805102774465,0.008151322369793365,0.003032211295219623,0.016216032058127862,0.2849,0.4903,0.755,0.2721,0.5,Inicial,0.1,0.606393448,0.507433087,0.680711274,0.685829489,0.650740222,0.487878788,0.784396278,0.421810827,0.67520942,0.26521606,0.606326638,0.737614769,0.013698661,1.0,1.0,0.026522621,0.0,0.046048194,0.888231131,0.958882955,0.966733157,0.4561,0.551,1.0,0.1,0.692528156
